# Mutants that already survived when this gate was first recorded.
#
# WHAT A LINE MEANS
#   tools/battery/run_mutation_gate.py tested this mutation, the
#   package's whole suite still passed, and the run was allowed
#   anyway because the hole predates the gate.  A survivor this
#   file does not carry fails the run.  Same shape and same
#   reason as _CRLF_DEBT in tests/test_line_ending_stability.py:
#   a gate that is red on its first run gets widened until it
#   means nothing, so the existing debt is written down once and
#   nothing may be added to it by accident.
#
#   Every line here is a place where the crate's tests would not
#   notice that mutation.  It is a work list, not a permission
#   slip.  Deleting a line is how a coverage hole is closed:
#   write the test, watch the run stay green, remove the line.
#
# FORMAT
#   COUNT | PACKAGE | FILE | FUNCTION | GENRE | REPLACEMENT
#
#   COUNT is how many identical survivors that key stands for --
#   the same mutation can appear more than once in one function.
#   REPLACEMENT is JSON-quoted because it may contain the field
#   separator.  There is no line number on purpose: line numbers
#   move when anything above them is edited, and a list keyed by
#   them would forgive a survivor that slid down the file and
#   manufacture a fresh one out of the same mutation.
#
# THE ONE FALSE POSITIVE THIS SHAPE HAS
#   A function moved bodily to another file changes its key, so
#   every survivor it already had reads as fresh and the run is
#   red for a change that altered no behaviour.  Re-baseline
#   just that package -- minutes, not the whole list:
#     python tools/battery/run_mutation_gate.py --all-mutants \
#         --baseline --only <package> --jobs 8
#
# REGENERATE EVERYTHING (deliberately, never to make a red run
# green; it also discards any note written by hand above a line):
#   python tools/battery/run_mutation_gate.py --all-mutants --baseline --jobs 8

2 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | "!="
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | BinaryOperator | "*"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | BinaryOperator | "-"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | BinaryOperator | "<="
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | BinaryOperator | "=="
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | BinaryOperator | ">"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | FnValue | "Ok(\"xyzzy\".into())"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | FnValue | "Ok(String::new())"
2 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | MatchArmGuard | "false"
2 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | run | MatchArmGuard | "true"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | - | UnaryOperator | ""
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | clear_error | FnValue | "()"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | fail | FnValue | "-1"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | fail | FnValue | "0"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | fail | FnValue | "1"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | gpuwm_ncwrite_abi_version | FnValue | "0"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | gpuwm_ncwrite_abi_version | FnValue | "1"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | gpuwm_ncwrite_schema_new | FnValue | "Default::default()"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | gpuwm_ncwrite_source_rev | FnValue | "Default::default()"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | set_error | FnValue | "-1"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | set_error | FnValue | "0"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | set_error | FnValue | "1"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | with_payload | BinaryOperator | "%"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | with_payload | BinaryOperator | "*"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | with_payload | BinaryOperator | "+"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | with_payload | BinaryOperator | "/"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | with_payload | BinaryOperator | "=="
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | with_payload | FnValue | "-1"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | with_payload | FnValue | "0"
1 | netcdf-writer | crates/netcdf-writer/src/capi.rs | with_payload | FnValue | "1"
1 | netcdf-writer | crates/netcdf-writer/src/error.rs | <impl std::error::Error for NcWriteError>::source | FnValue | "None"
1 | netcdf-writer | crates/netcdf-writer/src/error.rs | <impl std::error::Error for NcWriteError>::source | MatchArm | ""
1 | netcdf-writer | crates/netcdf-writer/src/layout.rs | Layout::check_offset_field_width | BinaryOperator | "=="
2 | netcdf-writer | crates/netcdf-writer/src/layout.rs | Layout::check_offset_field_width | BinaryOperator | ">="
2 | netcdf-writer | crates/netcdf-writer/src/layout.rs | Layout::check_variable_size_limits | BinaryOperator | "!="
1 | netcdf-writer | crates/netcdf-writer/src/layout.rs | Layout::check_variable_size_limits | BinaryOperator | "+"
1 | netcdf-writer | crates/netcdf-writer/src/layout.rs | Layout::check_variable_size_limits | BinaryOperator | "/"
1 | netcdf-writer | crates/netcdf-writer/src/layout.rs | Layout::check_variable_size_limits | BinaryOperator | "||"
1 | netcdf-writer | crates/netcdf-writer/src/layout.rs | Layout::check_variable_size_limits | UnaryOperator | ""
1 | netcdf-writer | crates/netcdf-writer/src/scan.rs | HeaderReader<'_>::skip | BinaryOperator | ">="
1 | netcdf-writer | crates/netcdf-writer/src/scan.rs | HeaderReader<'_>::skip_att_list | BinaryOperator | "+"
1 | netcdf-writer | crates/netcdf-writer/src/scan.rs | HeaderReader<'_>::skip_att_list | BinaryOperator | "/"
1 | netcdf-writer | crates/netcdf-writer/src/scan.rs | parse_header | BinaryOperator | "!="
2 | netcdf-writer | crates/netcdf-writer/src/scan.rs | parse_header | BinaryOperator | "&&"
4 | netcdf-writer | crates/netcdf-writer/src/scan.rs | parse_header | BinaryOperator | "=="
1 | netcdf-writer | crates/netcdf-writer/src/scan.rs | scan_slab | BinaryOperator | "*"
1 | netcdf-writer | crates/netcdf-writer/src/scan.rs | scan_slab | BinaryOperator | "+"
1 | netcdf-writer | crates/netcdf-writer/src/scan.rs | scan_slab | BinaryOperator | "/"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::check_attr_type | FnValue | "Ok(())"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::check_attr_type | UnaryOperator | ""
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::num_dims | FnValue | "0"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::num_dims | FnValue | "1"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::num_vars | FnValue | "0"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::num_vars | FnValue | "1"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::record_dim | FnValue | "None"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::record_dim | FnValue | "Some(0)"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::record_dim | FnValue | "Some(1)"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::var_name | FnValue | "None"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::var_name | FnValue | "Some(\"\")"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | Schema::var_name | FnValue | "Some(\"xyzzy\")"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | check_name | FnValue | "Ok(())"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | name_is_valid | FnValue | "true"
1 | netcdf-writer | crates/netcdf-writer/src/schema.rs | name_is_valid | MatchArmGuard | "true"
1 | netcdf-writer | crates/netcdf-writer/src/types.rs | AttrValue::is_empty | BinaryOperator | "!="
1 | netcdf-writer | crates/netcdf-writer/src/types.rs | AttrValue::is_empty | FnValue | "false"
1 | netcdf-writer | crates/netcdf-writer/src/types.rs | AttrValue::is_empty | FnValue | "true"
1 | netcdf-writer | crates/netcdf-writer/src/types.rs | NcFormat::label | FnValue | "\"\""
1 | netcdf-writer | crates/netcdf-writer/src/types.rs | NcFormat::label | FnValue | "\"xyzzy\""
7 | netcdf-writer | crates/netcdf-writer/src/types.rs | NcType::from_code | MatchArm | ""
1 | netcdf-writer | crates/netcdf-writer/src/types.rs | VarData<'_>::is_empty | BinaryOperator | "!="
1 | netcdf-writer | crates/netcdf-writer/src/types.rs | VarData<'_>::is_empty | FnValue | "false"
1 | netcdf-writer | crates/netcdf-writer/src/types.rs | VarData<'_>::is_empty | FnValue | "true"
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | <impl Drop for NcWriter>::drop | FnValue | "()"
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | <impl Drop for NcWriter>::drop | UnaryOperator | ""
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::finish_inner | BinaryOperator | "*"
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::num_records | FnValue | "0"
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::num_records | FnValue | "1"
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::write_at | BinaryOperator | "*="
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::write_at | BinaryOperator | "-="
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::write_at | BinaryOperator | "=="
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::write_pad | BinaryOperator | "!="
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::write_pad | FnValue | "Ok(())"
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::write_var | BinaryOperator | "*"
1 | netcdf-writer | crates/netcdf-writer/src/writer.rs | NcWriter::write_var | BinaryOperator | "/"
1 | obs-regrid | crates/obs-regrid/src/capi.rs | - | UnaryOperator | ""
1 | obs-regrid | crates/obs-regrid/src/capi.rs | clear_error | FnValue | "()"
1 | obs-regrid | crates/obs-regrid/src/capi.rs | gpuwm_obsregrid_abi_version | FnValue | "1"
1 | obs-regrid | crates/obs-regrid/src/capi.rs | gpuwm_obsregrid_source_rev | FnValue | "Default::default()"
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::bounds | BinaryOperator | "<="
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::bounds | BinaryOperator | ">="
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::box_distance_squared | BinaryOperator | "<="
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::box_distance_squared | BinaryOperator | ">="
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::build | BinaryOperator | ">="
3 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::build_node | BinaryOperator | "+"
2 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::build_node | BinaryOperator | "/"
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::build_node | BinaryOperator | ">="
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::is_empty | FnValue | "true"
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::len | FnValue | "0"
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::len | FnValue | "1"
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::search | BinaryOperator | "<="
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::search | BinaryOperator | ">"
1 | obs-regrid | crates/obs-regrid/src/kdtree.rs | KdTree::search | MatchArm | ""
4 | obs-regrid | crates/obs-regrid/src/plan.rs | apply_plan | BinaryOperator | "&&"
2 | obs-regrid | crates/obs-regrid/src/plan.rs | build_plan | BinaryOperator | "&&"
2 | obs-regrid | crates/obs-regrid/src/plan.rs | build_plan | BinaryOperator | ">="
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column | BinaryOperator | "-"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_hpa | BinaryOperator | "!="
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_hpa | BinaryOperator | "%"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_hpa | BinaryOperator | "*"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_hpa | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_hpa | BinaryOperator | "-"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_hpa | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_with_surface_hpa | BinaryOperator | "!="
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_with_surface_hpa | BinaryOperator | "%"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_with_surface_hpa | BinaryOperator | "*"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_with_surface_hpa | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_with_surface_hpa | BinaryOperator | "-"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | column_with_surface_hpa | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_dewpoint | FnValue | "Ok(vec![-1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_dewpoint | FnValue | "Ok(vec![0.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_dewpoint | FnValue | "Ok(vec![1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_relative_humidity | FnValue | "Ok(vec![-1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_relative_humidity | FnValue | "Ok(vec![0.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_relative_humidity | FnValue | "Ok(vec![1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_wind_chill | FnValue | "Ok(vec![-1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_wind_chill | FnValue | "Ok(vec![0.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_2m_wind_chill | FnValue | "Ok(vec![1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | BinaryOperator | "%"
3 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | BinaryOperator | "&&"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | BinaryOperator | "*"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | BinaryOperator | "-"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | BinaryOperator | "<="
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | BinaryOperator | "=="
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | FnValue | "Ok(vec![0.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_dcape | FnValue | "Ok(vec![1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_ehi_01km | FnValue | "Ok(vec![-1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_ehi_01km | FnValue | "Ok(vec![0.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_ehi_01km | FnValue | "Ok(vec![1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_ehi_01km | FnValue | "Ok(vec![])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_ehi_03km | FnValue | "Ok(vec![-1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_ehi_03km | FnValue | "Ok(vec![0.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_ehi_03km | FnValue | "Ok(vec![1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_ehi_03km | FnValue | "Ok(vec![])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lapse_rate_0_3km | BinaryOperator | "%"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lapse_rate_0_3km | BinaryOperator | "*"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lapse_rate_0_3km | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lapse_rate_0_3km | BinaryOperator | "-"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lapse_rate_0_3km | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lapse_rate_0_3km | FnValue | "Ok(vec![1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lapse_rate_700_500 | BinaryOperator | ">="
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lifted_index | BinaryOperator | "-"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_lifted_index | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_srh_01km_hemispheric | FnValue | "Ok(vec![-1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_srh_01km_hemispheric | FnValue | "Ok(vec![0.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_srh_01km_hemispheric | FnValue | "Ok(vec![1.0])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_srh_01km_hemispheric | FnValue | "Ok(vec![])"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_surface_thermo_state | BinaryOperator | "*"
3 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_surface_thermo_state | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_surface_thermo_state | BinaryOperator | "-"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | compute_surface_thermo_state | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | dewpoint_from_mixing_ratio | BinaryOperator | "%"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | dewpoint_from_mixing_ratio | BinaryOperator | "-"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | fire_weather_composite_value | BinaryOperator | "%"
3 | rustwx-calc | crates/rustwx-calc/src/derived.rs | fire_weather_composite_value | BinaryOperator | "*"
4 | rustwx-calc | crates/rustwx-calc/src/derived.rs | fire_weather_composite_value | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | fire_weather_composite_value | BinaryOperator | "-"
4 | rustwx-calc | crates/rustwx-calc/src/derived.rs | fire_weather_composite_value | BinaryOperator | "/"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_height | BinaryOperator | "&&"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_height | BinaryOperator | "+"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_height | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_height | BinaryOperator | "<"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_height | BinaryOperator | "<="
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_height | BinaryOperator | "=="
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_height | BinaryOperator | "||"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_pressure | BinaryOperator | "&&"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_pressure | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_pressure | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_pressure | BinaryOperator | "<"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_pressure | BinaryOperator | ">"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | interp_at_pressure | BinaryOperator | "||"
2 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_hpa_at | BinaryOperator | "%"
3 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_hpa_at | BinaryOperator | "*"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_hpa_at | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_hpa_at | BinaryOperator | "-"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_hpa_at | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_hpa_at | FnValue | "-1.0"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_hpa_at | FnValue | "0.0"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_hpa_at | FnValue | "1.0"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_is_levels | BinaryOperator | "!="
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_is_levels | FnValue | "false"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | pressure_is_levels | FnValue | "true"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | profile_contains_pressure | BinaryOperator | "||"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | profile_contains_pressure | FnValue | "true"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | validate_surface_inputs | FnValue | "Ok(())"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | validate_temperature_advection_inputs | FnValue | "Ok(())"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | validate_volume_inputs | FnValue | "Ok(())"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | vapor_pressure_deficit_hpa | BinaryOperator | "+"
1 | rustwx-calc | crates/rustwx-calc/src/derived.rs | vapor_pressure_deficit_hpa | BinaryOperator | "/"
1 | rustwx-calc | crates/rustwx-calc/src/ecape.rs | EcapeOptions<'a>::with_entrainment_rate | FnValue | "Default::default()"
1 | rustwx-calc | crates/rustwx-calc/src/ecape.rs | EcapeOptions<'a>::with_pseudoadiabatic | FnValue | "Default::default()"
1 | rustwx-calc | crates/rustwx-calc/src/ecape.rs | EcapeOptions<'a>::with_user_storm_motion | FnValue | "Default::default()"
2 | rustwx-calc | crates/rustwx-calc/src/ecape.rs | EcapeTripletFieldsWithFailureMask::total_failure_count | BinaryOperator | "*"
2 | rustwx-calc | crates/rustwx-calc/src/ecape.rs | EcapeTripletFieldsWithFailureMask::total_failure_count | BinaryOperator | "-"
1 | rustwx-calc | crates/rustwx-calc/src/ecape.rs | EcapeTripletFieldsWithFailureMask::total_failure_count | FnValue | "0"
